사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2018-04,2호선,0247,도림천,4,0,465,370,1307,828,3428,6857,3024,6000,1941,2018,1634,1505,1442,1216,1766,1736,1598,1397,1943,1481,2687,1540,3746,1676,2637,2101,3574,2922,2143,2898,1115,1936,1179,1549,641,1423,202,1035,41,391,0,10,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0248,양천구청,21,0,4699,1158,12763,2502,35487,6174,31965,11777,20176,7465,13559,5876,12130,5871,13822,7859,10711,9049,8769,9404,7936,11146,9167,13836,10553,17411,10016,26066,5336,27345,3465,17097,2895,15617,2998,14918,1002,12252,187,4565,0,60,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0249,신정네거리,23,0,9020,1581,16410,4227,49570,5434,45835,12150,27179,8811,17188,7465,15957,8616,15732,9733,14757,11728,11999,13073,11464,15734,12617,20057,13568,27119,13806,40639,9250,38853,6354,22531,5489,21147,4332,20595,1945,14242,304,4019,2,254,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0250,용두(동대문구청),6,0,1038,130,1791,1007,5338,2575,8247,6728,4161,3841,3381,3238,3910,3843,4117,3793,4612,4746,4763,4713,5145,4836,5046,5064,5195,5015,6497,7108,3232,6051,2302,3452,1779,3362,1495,3013,489,2120,89,563,1,10,0,1,0,0,2018-05-03 13:30:17
2018-04,3호선,0309,지축,0,0,331,520,1615,2411,5281,1743,5835,2197,3620,1844,2515,1579,2078,1669,2130,1758,1970,1833,1909,2121,2228,2433,2635,3077,3040,3251,2098,5118,1075,4720,523,3253,323,2479,168,2085,92,1102,25,143,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0310,구파발,114,7,10408,1939,33711,17993,98710,19592,91267,27975,50184,26132,33260,23017,28774,21027,28572,22893,28196,23972,25880,24465,27430,26955,34948,35359,38371,40766,33371,64151,22605,66293,17904,39690,14927,36677,13285,35505,4081,24872,619,8283,5,419,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0311,연신내,234,2,29425,1995,60513,14824,166690,35591,195288,41723,110314,42422,73688,38617,66305,38191,68783,42540,67591,48355,59264,53039,60132,64603,68405,80878,67493,95123,61758,147342,46233,153831,35264,95887,31972,86547,29730,84222,15056,57112,2649,19802,0,3,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0312,불광,26,2,10873,1455,24018,7969,66656,12141,78571,36137,45634,39181,31150,30398,28617,27778,28978,29942,31755,35700,30039,35103,31365,36466,34899,42329,35553,47679,39520,69509,25032,65905,18952,39793,17500,35130,13292,33612,5739,21857,1003,6754,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0313,녹번,32,3,8220,1703,20696,13543,58938,8722,67693,18214,39031,13002,24652,9284,20594,9020,20715,10442,18528,12447,16205,12898,15397,16331,18824,21611,24119,26419,20973,39517,11379,42173,7602,27644,6541,24915,4841,24705,2210,15983,269,4749,0,0,0,0,0,0,2018-05-03 13:30:17
2018-04,3호선,0314,홍제,36,3,10074,1635,26895,10035,75342,14924,85345,35013,53355,30358,36513,25570,33434,22121,34833,24456,32303,27231,30447,28327,31114,32432,34508,38983,37057,44730,38523,63478,22021,61625,16745,38923,14003,36216,10906,35942,5072,22340,635,6665,0,0,1,1,0,0,2018-05-03 13:30:17
